[0.455, 12.667, 10.333, 0.801];[0.49, 13.0, 8.333, 0.894];[1, 0];
[0.475, 13.0, 9.333, 0.659];[0.442, 15.667, 13.0, 0.881];[0, 1];
[0.416, 15.333, 14.0, 0.696];[0.436, 13.667, 10.0, 0.698];[0, 1];
[0.484, 8.667, 9.333, 0.736];[0.457, 14.0, 7.0, 0.856];[0, 1];
[0.453, 11.0, 9.333, 0.792];[0.443, 10.0, 9.667, 0.709];[1, 0];
[0.5, 10.667, 6.667, 0.823];[0.466, 16.667, 8.667, 0.827];[1, 0];
[0.453, 17.0, 8.0, 0.699];[0.437, 13.333, 10.0, 0.741];[0, 1];
[0.42, 12.0, 16.0, 0.702];[0.436, 12.667, 9.333, 0.772];[1, 0];
[0.474, 10.333, 8.667, 0.747];[0.438, 9.333, 11.333, 0.733];[1, 0];
[0.447, 14.667, 12.333, 0.747];[0.429, 10.333, 9.667, 0.747];[1, 0];
[0.511, 11.333, 8.333, 0.682];[0.458, 15.0, 9.333, 0.745];[1, 0];
[0.465, 12.667, 11.333, 0.736];[0.511, 14.333, 11.667, 0.704];[0, 1];
[0.444, 14.0, 10.0, 0.809];[0.475, 14.667, 8.667, 0.838];[0, 1];
[0.457, 15.0, 10.0, 0.702];[0.469, 17.667, 16.333, 0.823];[0, 1];
[0.468, 15.333, 7.0, 0.735];[0.403, 13.667, 11.0, 0.605];[1, 0];
[0.436, 16.0, 14.333, 0.772];[0.524, 14.667, 6.333, 0.747];[1, 0];
[0.442, 13.0, 5.667, 0.863];[0.468, 13.667, 5.333, 0.819];[1, 0];
[0.452, 13.333, 9.0, 0.772];[0.475, 13.0, 10.667, 0.756];[1, 0];
[0.419, 15.333, 10.333, 0.758];[0.514, 15.333, 6.0, 0.711];[1, 0];
[0.487, 12.0, 9.667, 0.748];[0.442, 8.667, 6.0, 0.787];[1, 0];
[0.437, 16.0, 8.333, 0.77];[0.46, 15.667, 13.0, 0.679];[1, 0];
[0.505, 13.667, 9.667, 0.777];[0.48, 10.333, 8.667, 0.759];[1, 0];
[0.511, 15.0, 10.333, 0.748];[0.49, 14.333, 10.667, 0.789];[0, 1];
[0.472, 10.0, 10.0, 0.697];[0.481, 19.333, 12.0, 0.763];[1, 0];
[0.453, 14.0, 8.0, 0.784];[0.483, 17.667, 7.333, 0.742];[0, 1];
[0.49, 15.0, 10.667, 0.736];[0.491, 13.667, 8.667, 0.761];[1, 0];
[0.486, 12.333, 8.0, 0.744];[0.484, 9.667, 10.0, 0.871];[1, 0];
[0.444, 12.667, 9.0, 0.856];[0.489, 11.0, 9.667, 0.817];[1, 0];
[0.498, 12.0, 11.333, 0.678];[0.452, 10.0, 11.667, 0.795];[1, 0];
[0.439, 14.0, 14.333, 0.669];[0.452, 11.333, 10.667, 0.83];[0, 1];
[0.449, 12.0, 8.333, 0.78];[0.467, 15.667, 9.333, 0.85];[0, 1];
[0.463, 18.0, 7.333, 0.873];[0.476, 15.0, 8.333, 0.656];[0, 1];
[0.485, 16.667, 7.333, 0.793];[0.498, 16.0, 9.667, 0.852];[1, 0];
[0.486, 20.333, 12.667, 0.759];[0.478, 13.667, 11.667, 0.71];[1, 0];
[0.429, 16.333, 9.0, 0.821];[0.491, 14.667, 10.667, 0.773];[0, 1];
[0.473, 14.667, 8.0, 0.771];[0.473, 15.333, 11.333, 0.685];[1, 0];
[0.446, 12.667, 9.667, 0.833];[0.504, 15.667, 9.667, 0.759];[1, 0];
[0.498, 13.333, 8.667, 0.811];[0.441, 10.333, 5.333, 0.86];[1, 0];
[0.442, 11.333, 7.0, 0.754];[0.429, 18.333, 9.667, 0.788];[1, 0];
